TRACE STARTED

00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B3 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000D D2=00000000 D3=00000000 D4=00000000 D5=FFFF8BFF D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B3 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000C D2=00000000 D3=00000000 D4=00000000 D5=FFFF8BFF D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B4 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000C D2=00000000 D3=00000000 D4=00000000 D5=FFFF8B00 D6=00003FFF D7=00000100 xnZvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B4 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000C D2=00000000 D3=00000000 D4=00000000 D5=FFFF8B00 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B4 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000C D2=00000000 D3=00000000 D4=00000000 D5=FFFF8C00 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B4 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000B D2=00000000 D3=00000000 D4=00000000 D5=FFFF8C00 D6=00003FFF D7=00000100 xNzvc
00:023A  38 85  MOVE.W  D5,(A4)                  A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B5 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000B D2=00000000 D3=00000000 D4=00000000 D5=FFFF8C81 D6=00003FFF D7=00000100 xNzvc
00:023C  DA 47  ADD.W   D7,D5                    A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B5 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000B D2=00000000 D3=00000000 D4=00000000 D5=FFFF8C81 D6=00003FFF D7=00000100 xNzvc
00:023E  51 C9  DBFa    D1,#$FFF8 [01:0238]      A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B5 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000B D2=00000000 D3=00000000 D4=00000000 D5=FFFF8D81 D6=00003FFF D7=00000100 xNzvc
00:0238  1A 1D  MOVE.B  (A5)+,D5                 A0=00A00000 A1=00A11100 A2=00A11200 A3=00C00000 A4=00C00004 A5=000002B5 A6=00000000 A7=00FF0C00 D0=00000000 D1=0000000A D2=00000000 D3=00000000 D4=00000000 D5=FFFF8D81 D6=00003FFF D7=00000100 xNzvc
